Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,276.20,284.80,275.60,282.00,4981900,282.00
2016-09-15,275.00,279.50,272.60,277.30,2068200,277.30
2016-09-14,283.50,283.70,275.20,277.00,1860500,277.00
2016-09-13,286.80,287.80,281.90,281.90,2023500,281.90
2016-09-12,287.90,288.70,280.30,283.70,1640800,283.70
2016-09-09,295.40,295.80,287.10,290.10,2097100,290.10
2016-09-08,293.10,296.70,291.70,295.20,1773200,295.20
2016-09-07,299.10,300.40,292.90,295.00,1632600,294.50
2016-09-06,294.10,298.10,290.60,297.50,3859900,296.996
2016-09-05,295.00,298.20,286.50,292.50,2027000,292.004
2016-09-02,298.80,299.30,292.20,295.20,2807400,294.70
2016-09-01,298.30,306.20,291.90,298.80,3253600,298.294
2016-08-31,292.70,299.40,291.60,296.60,2448700,296.097
2016-08-30,292.20,294.90,289.70,291.90,1813600,291.405
2016-08-26,293.60,293.60,288.90,291.70,796100,291.206
2016-08-25,294.00,294.00,288.90,291.10,1181900,290.607
2016-08-24,292.60,293.50,286.60,293.50,1454100,293.003
2016-08-23,288.50,295.80,286.70,294.20,1197300,293.701
2016-08-22,283.10,286.30,281.10,285.40,951400,284.916
2016-08-19,287.90,289.50,284.90,285.60,744700,285.116
2016-08-18,286.60,288.40,284.30,286.80,1659900,286.314
2016-08-17,289.00,290.232,282.70,284.80,1528500,284.317
2016-08-16,286.10,295.10,283.90,289.20,1975700,288.71
2016-08-15,286.10,291.00,283.177,285.10,1284700,284.617
2016-08-12,279.50,288.00,279.50,287.20,1305200,286.713
2016-08-11,285.20,285.20,278.10,279.00,1279000,278.527
2016-08-10,279.80,284.50,278.20,281.90,1541500,281.422
2016-08-09,280.00,280.70,274.40,279.60,1260300,279.126
2016-08-08,280.60,286.90,279.80,280.00,2491600,279.525
2016-08-05,288.70,288.80,276.30,278.90,2348800,278.427
2016-08-04,277.10,287.80,277.00,285.00,1429100,284.517
2016-08-03,282.80,282.80,275.10,276.80,1104100,276.331
2016-08-02,282.60,284.30,278.60,280.90,3144800,280.424
2016-08-01,293.50,293.50,282.00,284.00,1522000,283.519
2016-07-29,287.60,292.20,287.00,291.00,1687700,290.507
2016-07-28,291.90,295.00,286.70,289.20,4171900,288.71
2016-07-27,280.60,290.00,279.80,289.50,3431200,289.009
2016-07-26,294.00,295.40,280.60,280.60,3254800,280.124
2016-07-25,294.00,299.20,291.10,296.40,2754500,295.898
2016-07-22,294.40,295.40,290.70,291.90,1070400,291.405
2016-07-21,292.30,296.60,289.30,295.00,1528000,294.50
2016-07-20,295.40,298.40,290.40,293.70,1662700,293.202
2016-07-19,293.70,298.90,289.50,294.90,1274000,294.40
2016-07-18,282.50,305.10,282.50,299.30,2687500,298.793
2016-07-15,292.80,297.70,287.90,289.10,1857100,288.61
2016-07-14,295.10,296.60,289.10,295.80,1674500,295.299
2016-07-13,298.50,299.50,289.00,290.80,3089400,290.307
2016-07-12,289.90,303.70,289.80,297.20,2651200,296.696
2016-07-11,273.40,294.70,273.40,292.90,2231300,292.404
2016-07-08,258.40,276.50,258.40,274.40,1831900,273.935
2016-07-07,259.90,271.20,257.60,263.70,3070500,263.253
2016-07-06,268.20,270.70,257.20,264.00,5340600,263.553
2016-07-05,279.90,281.50,263.856,268.20,3680300,267.745
2016-07-04,294.50,299.20,281.50,284.80,2994600,284.317
2016-07-01,300.10,300.50,291.90,295.10,2011700,294.60
2016-06-30,290.40,298.20,289.60,297.00,2411300,296.497
2016-06-29,285.10,291.20,280.90,291.20,3882300,290.706
2016-06-28,270.80,284.30,270.60,280.00,3181300,279.525
2016-06-27,294.30,305.80,264.358,264.40,6852400,263.952
2016-06-24,298.90,315.00,292.30,299.50,9778900,298.992
2016-06-23,356.00,363.10,337.49,362.50,1635000,361.886
2016-06-22,355.10,358.70,353.00,356.00,971800,355.397
2016-06-21,351.20,356.20,345.90,355.60,1768900,354.997
2016-06-20,336.00,346.80,336.00,346.80,1719300,346.212
2016-06-17,321.00,330.20,321.00,326.80,4315800,326.246
2016-06-16,327.40,327.90,315.30,318.90,2266200,318.359
2016-06-15,333.20,333.50,328.80,330.80,1364600,330.239
2016-06-14,336.40,337.10,327.40,329.30,1635600,328.742
2016-06-13,337.50,339.80,336.10,336.30,1051700,335.73
2016-06-10,347.20,351.90,339.249,339.30,1730500,338.725
2016-06-09,349.30,351.00,345.40,349.40,1346500,348.808
2016-06-08,341.00,349.60,341.00,349.10,1098700,348.508
2016-06-07,342.00,344.50,341.70,343.90,1039900,343.317
2016-06-06,343.10,344.80,339.20,343.00,913900,342.419
2016-06-03,339.70,345.30,338.50,340.20,674100,339.623
2016-06-02,341.00,344.20,337.00,337.70,928500,337.128
2016-06-01,340.00,344.80,338.90,342.80,2062400,342.219
2016-05-31,343.40,345.10,336.00,342.30,1871000,341.72
2016-05-30,343.10,343.10,343.10,343.10,000,342.518
2016-05-27,346.80,348.30,339.30,343.10,1750900,342.518
2016-05-26,347.90,350.40,343.70,348.20,4230700,347.61
2016-05-25,350.00,355.90,346.50,347.40,1814300,345.813
2016-05-24,341.40,351.30,338.30,351.10,1408300,349.496
2016-05-23,340.70,345.70,340.70,342.80,1070100,341.234
2016-05-20,332.70,341.40,332.70,341.40,947500,339.84
2016-05-19,331.30,338.50,331.30,331.90,1305400,330.384
