Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,2508.00,2549.00,2485.00,2544.00,1119000,2544.00
2016-09-15,2524.00,2524.00,2462.00,2523.00,563700,2523.00
2016-09-14,2576.00,2576.00,2532.00,2532.00,1154900,2518.14
2016-09-13,2604.00,2633.22,2566.00,2573.00,343300,2558.916
2016-09-12,2698.00,2703.00,2615.65,2645.00,314900,2630.522
2016-09-09,2766.00,2769.00,2709.00,2710.00,195200,2695.166
2016-09-08,2750.00,2791.00,2736.56,2781.00,286100,2765.777
2016-09-07,2761.00,2769.00,2741.00,2763.00,145700,2747.876
2016-09-06,2731.00,2766.00,2704.00,2766.00,244000,2750.859
2016-09-05,2788.00,2788.00,2731.00,2754.00,161400,2738.925
2016-09-02,2748.00,2778.00,2701.00,2764.00,244200,2748.87
2016-09-01,2735.00,2785.00,2723.00,2742.00,209000,2726.991
2016-08-31,2717.00,2743.00,2701.00,2732.00,154700,2717.045
2016-08-30,2720.00,2744.00,2682.00,2715.00,110700,2700.138
2016-08-26,2723.00,2725.00,2698.09,2715.00,127400,2700.138
2016-08-25,2770.00,2770.00,2714.00,2726.00,150800,2711.078
2016-08-24,2739.00,2776.00,2711.00,2770.00,330400,2754.837
2016-08-23,2758.00,2779.00,2723.00,2753.00,165200,2737.93
2016-08-22,2702.00,2736.00,2690.00,2733.00,187900,2718.04
2016-08-19,2729.00,2748.00,2706.00,2718.00,245700,2703.122
2016-08-18,2737.00,2748.00,2718.00,2740.00,179300,2725.001
2016-08-17,2771.00,2771.00,2703.00,2721.00,243900,2706.105
2016-08-16,2768.00,2773.00,2731.00,2746.00,266100,2730.969
2016-08-15,2746.00,2785.00,2714.00,2767.00,191100,2751.854
2016-08-12,2725.00,2757.00,2711.00,2747.00,236500,2731.963
2016-08-11,2832.00,2832.00,2715.00,2742.00,343400,2726.991
2016-08-10,2832.00,2844.00,2777.00,2819.00,377500,2803.569
2016-08-09,2785.00,2809.00,2760.00,2775.00,170500,2759.81
2016-08-08,2859.00,2859.00,2784.00,2794.00,332400,2778.706
2016-08-05,2854.00,2854.00,2804.00,2812.00,253400,2796.607
2016-08-04,2796.00,2833.00,2739.00,2825.00,417400,2809.536
2016-08-03,2797.00,2816.00,2769.00,2778.00,350300,2762.793
2016-08-02,2865.00,2865.00,2798.00,2805.00,316200,2789.646
2016-08-01,2847.00,2872.00,2820.00,2821.00,297900,2805.558
2016-07-29,2802.00,2845.00,2793.00,2842.00,469400,2826.443
2016-07-28,2796.00,2880.00,2796.00,2809.00,389600,2793.624
2016-07-27,2784.00,2835.00,2784.00,2824.00,176000,2808.542
2016-07-26,2807.00,2814.00,2774.00,2782.00,414100,2766.772
2016-07-25,2771.00,2822.00,2741.56,2812.00,238800,2796.607
2016-07-22,2750.00,2784.00,2717.00,2758.00,280100,2742.903
2016-07-21,2746.00,2786.00,2714.00,2742.00,366600,2726.991
2016-07-20,2754.00,2815.00,2708.00,2800.00,485800,2784.673
2016-07-19,2680.00,2755.00,2654.00,2745.00,500100,2729.974
2016-07-18,2683.00,2723.00,2661.00,2696.00,304500,2681.242
2016-07-15,2662.00,2716.00,2648.00,2686.00,289600,2671.297
2016-07-14,2737.00,2737.00,2673.00,2688.00,450600,2673.286
2016-07-13,2638.00,2736.00,2241.04,2710.00,617900,2695.166
2016-07-12,2661.00,2748.00,2643.00,2658.00,529500,2643.45
2016-07-11,2577.00,2671.00,2537.43,2642.00,599100,2627.538
2016-07-08,2415.00,2576.00,2411.00,2576.00,675400,2561.899
2016-07-07,2400.00,2524.00,2394.00,2463.00,521400,2449.518
2016-07-06,2416.00,2417.00,2339.00,2400.00,727700,2386.863
2016-07-05,2500.00,2500.00,2354.00,2457.00,817400,2443.551
2016-07-04,2625.00,2625.00,2487.00,2501.00,319800,2487.31
2016-07-01,2654.00,2666.00,2546.00,2599.00,302900,2584.773
2016-06-30,2531.00,2613.00,2520.00,2613.00,605100,2598.697
2016-06-29,2466.00,2575.00,2424.00,2555.00,607300,2541.014
2016-06-28,2329.00,2425.85,2326.00,2400.00,1034200,2386.863
2016-06-27,2529.00,2560.00,2230.00,2257.00,1016800,2244.645
2016-06-24,2230.00,2855.00,2230.00,2587.00,1089100,2572.839
2016-06-23,3431.00,3507.80,3393.00,3430.00,331100,3411.224
2016-06-22,3331.00,3418.00,3314.00,3396.00,367900,3377.411
2016-06-21,3298.00,3324.00,3269.00,3316.00,307300,3297.849
2016-06-20,3181.00,3274.00,3181.00,3271.00,298400,3253.095
2016-06-17,3084.00,3133.00,3078.00,3103.00,543400,3086.014
2016-06-16,3098.00,3168.00,3068.00,3068.00,415600,3051.206
2016-06-15,3130.00,3149.00,3108.09,3134.00,376500,3116.845
2016-06-14,3163.00,3176.00,3105.00,3108.00,202500,3090.987
2016-06-13,3193.00,3214.00,3192.00,3193.00,193400,3175.522
2016-06-10,3311.00,3311.00,3223.00,3228.00,199800,3210.33
2016-06-09,3330.00,3333.00,3289.00,3303.00,268900,3284.92
2016-06-08,3326.00,3344.00,3312.00,3333.00,146800,3314.755
2016-06-07,3329.00,3348.00,3310.00,3330.00,255500,3311.772
2016-06-06,3290.00,3313.00,3270.00,3311.00,223800,3292.876
2016-06-03,3270.00,3302.00,3249.00,3301.00,211300,3282.931
2016-06-02,3243.00,3268.00,3227.00,3244.00,187000,3226.243
2016-06-01,3306.00,3308.00,3197.00,3250.00,286000,3232.21
2016-05-31,3343.00,3346.00,3292.00,3292.00,293400,3273.98
2016-05-30,3355.00,3355.00,3355.00,3355.00,000,3336.635
2016-05-27,3350.00,3355.00,3324.00,3355.00,125600,3336.635
2016-05-26,3376.00,3376.00,3337.09,3345.00,251500,3326.69
2016-05-25,3433.00,3445.00,3367.00,3374.00,223200,3355.531
2016-05-24,3366.00,3427.00,3344.00,3427.00,215800,3408.241
2016-05-23,3321.00,3397.00,3321.00,3383.00,157800,3364.482
2016-05-20,3316.00,3344.00,3313.00,3342.00,215400,3323.706
2016-05-19,3294.00,3326.00,3271.00,3306.00,185000,3287.903
2016-05-18,3307.00,3333.00,3283.00,3315.00,166200,3296.854
2016-05-17,3297.00,3351.00,3287.00,3327.00,223600,3308.788
2016-05-16,3285.00,3318.00,3277.00,3277.00,108600,3259.062
2016-05-13,3328.00,3329.00,3288.00,3321.00,238500,3302.821
2016-05-12,3317.00,3330.00,3288.00,3330.00,174600,3311.772
2016-05-11,3403.00,3407.00,3329.00,3335.00,226400,3316.745
2016-05-10,3405.00,3427.00,3377.00,3403.00,311000,3384.372
2016-05-09,3361.82,3414.00,3360.00,3400.00,194500,3381.389
2016-05-06,3301.00,3339.00,3295.00,3338.00,217500,3319.728
2016-05-05,3296.00,3324.00,3277.00,3291.00,189200,3272.985
2016-05-04,3285.00,3306.00,3278.00,3296.00,166500,3247.326
2016-05-03,3293.00,3315.00,3278.00,3281.00,140500,3232.548
2016-05-02,3284.00,3284.00,3284.00,3284.00,000,3235.504
2016-04-29,3310.00,3328.00,3284.00,3284.00,268700,3235.504
2016-04-28,3310.00,3337.00,3298.00,3325.00,125900,3275.898
2016-04-27,3325.00,3340.00,3302.00,3328.00,598000,3278.854
2016-04-26,3270.00,3331.00,3270.00,3310.00,188600,3261.12
2016-04-25,3168.00,3279.00,3168.00,3272.00,206000,3223.681
2016-04-22,3216.00,3233.00,3154.00,3165.00,101300,3118.261
2016-04-21,3204.00,3277.00,3204.00,3224.00,194300,3176.39
2016-04-20,3233.00,3262.00,3219.00,3256.00,189400,3207.917
2016-04-19,3214.00,3266.00,3214.00,3236.00,170200,3188.212
2016-04-18,3236.00,3251.00,3213.00,3224.00,129900,3176.39
2016-04-15,3282.00,3290.00,3216.00,3250.00,201700,3202.006
2016-04-14,3299.00,3329.00,3277.77,3278.00,221200,3229.592
2016-04-13,3236.00,3305.00,3236.00,3304.00,222600,3255.208
2016-04-12,3222.00,3222.00,3157.00,3203.00,174300,3155.70
2016-04-11,3207.00,3220.00,3165.00,3203.00,121300,3155.70
2016-04-08,3142.00,3225.00,3142.00,3199.00,172800,3151.759
2016-04-07,3172.00,3205.00,3140.00,3144.00,119900,3097.571
2016-04-06,3149.00,3220.00,3142.00,3185.00,208500,3137.966
2016-04-05,3114.00,3152.00,3109.00,3140.00,220400,3093.63
2016-04-04,3134.00,3153.00,3121.00,3130.00,160200,3083.778
2016-04-01,3133.00,3143.00,3088.00,3135.00,142900,3088.704
2016-03-31,3153.00,3159.00,3139.00,3152.00,151900,3105.453
2016-03-30,3132.00,3158.00,3118.00,3149.00,165100,3102.497
2016-03-29,3114.00,3126.00,3092.00,3103.00,198900,3057.177
2016-03-28,3080.00,3080.00,3080.00,3080.00,000,3034.516
2016-03-24,3119.00,3132.00,3080.00,3080.00,173400,3034.516
2016-03-23,3126.00,3133.00,3104.00,3121.00,162400,3074.911
2016-03-22,3153.00,3165.00,3095.00,3120.00,197500,3073.925
2016-03-21,3149.00,3195.00,3149.00,3165.00,173600,3118.261
2016-03-18,3102.00,3215.00,3093.00,3154.00,515600,3107.423
2016-03-17,3093.00,3106.00,3054.50,3096.00,171700,3050.28
2016-03-16,3085.00,3099.00,3064.00,3076.00,242100,3030.575
2016-03-15,3064.00,3071.00,3048.00,3048.00,159800,3002.989
2016-03-14,3026.00,3073.00,3020.00,3058.00,132800,3012.841
2016-03-11,3023.00,3046.00,3006.00,3026.00,186700,2981.314
2016-03-10,2990.00,3034.00,2974.00,2975.00,227100,2931.067
2016-03-09,3037.00,3037.00,2974.00,2979.00,175600,2935.008
2016-03-08,3036.00,3057.45,3004.00,3021.00,126400,2976.387
2016-03-07,3092.00,3109.00,3046.00,3064.00,184800,3018.752
2016-03-04,3095.00,3113.00,3065.00,3094.00,168800,3048.309
2016-03-03,3073.00,3092.00,3067.00,3088.00,206900,3042.398
2016-03-02,3053.00,3067.00,3045.00,3062.00,199100,3016.782
2016-03-01,3026.00,3059.00,3022.00,3045.00,245100,3000.033
2016-02-29,3013.00,3038.00,2990.00,3033.00,256200,2988.21
2016-02-26,3003.00,3054.00,3003.00,3039.00,313000,2994.122
2016-02-25,2950.00,3010.00,2904.00,2992.00,361400,2947.816
2016-02-24,2971.00,2974.00,2905.00,2931.00,247000,2887.717
2016-02-23,3039.00,3043.00,2947.00,2957.00,306300,2913.333
2016-02-22,3080.00,3127.00,3012.00,3018.00,357900,2973.432
2016-02-19,3066.00,3087.00,3051.00,3087.00,194600,3041.413
2016-02-18,3128.00,3128.00,3063.00,3079.00,150300,3033.531
2016-02-17,3026.00,3115.00,3026.00,3098.00,202100,3052.25
2016-02-16,3052.00,3057.00,3000.00,3010.00,226800,2965.55
2016-02-15,3023.00,3051.00,2998.00,3045.00,229400,3000.033
2016-02-12,2924.00,2964.00,2913.00,2951.00,415800,2907.421
2016-02-11,2968.00,2998.00,2916.00,2916.00,410900,2872.938
2016-02-10,3009.00,3060.00,2975.00,3028.00,277600,2983.284
2016-02-09,3030.00,3030.00,2939.00,2961.00,336200,2917.274
2016-02-08,3104.00,3104.00,2980.00,3018.00,405600,2973.432
2016-02-05,3162.00,3182.00,3082.00,3090.00,242500,3044.369
2016-02-04,3249.00,3253.00,3154.00,3163.00,288900,3116.29
2016-02-03,3270.00,3284.00,3195.00,3207.00,229400,3159.641
2016-02-02,3293.00,3322.00,3261.00,3265.00,265100,3216.784
2016-02-01,3322.00,3330.00,3239.00,3310.00,554800,3261.12
2016-01-29,3200.00,3246.00,3168.00,3239.00,394700,3191.168
2016-01-28,3208.00,3225.00,3154.00,3157.00,255900,3110.379
2016-01-27,3251.00,3251.00,3186.00,3201.00,332100,3153.729
2016-01-26,3225.00,3235.00,3191.00,3228.00,323400,3180.331
2016-01-25,3246.00,3246.00,3202.00,3245.00,286400,3197.08
2016-01-22,3249.00,3250.00,3194.00,3246.00,235700,3198.065
2016-01-21,3127.00,3214.00,3127.00,3197.00,399100,3149.788
2016-01-20,3198.00,3246.00,3094.01,3127.00,364900,3080.822
2016-01-19,3262.00,3314.00,3246.00,3258.00,233200,3209.888
2016-01-18,3304.00,3311.00,3211.00,3218.00,334600,3170.478
2016-01-15,3403.00,3424.00,3288.00,3303.00,234700,3254.223
2016-01-14,3450.00,3464.08,3396.45,3407.00,185400,3356.687
2016-01-13,3505.00,3519.48,3475.00,3486.00,506100,3434.521
2016-01-12,3429.00,3521.00,3401.00,3471.00,186900,3419.742
2016-01-11,3502.00,3502.00,3434.00,3434.00,235300,3383.289
2016-01-08,3564.00,3565.00,3481.00,3481.00,235400,3429.594
2016-01-07,3598.00,3624.00,3560.00,3576.00,210300,3523.192
2016-01-06,3680.00,3696.00,3636.00,3650.00,98700,3596.099
2016-01-05,3677.00,3698.00,3634.00,3682.00,84100,3627.626
2016-01-04,3637.00,3649.10,3585.00,3633.00,128500,3579.35
2015-12-31,3703.00,3725.00,3672.00,3672.00,62800,3617.774
2015-12-30,3740.00,3743.00,3667.00,3702.00,75100,3647.331
2015-12-29,3711.00,3743.00,3711.00,3725.00,102800,3669.991
2015-12-28,3718.00,3718.00,3718.00,3718.00,000,3663.095
2015-12-25,3718.00,3718.00,3718.00,3718.00,000,3663.095
2015-12-24,3720.00,3721.50,3695.00,3718.00,21600,3663.095
2015-12-23,3680.00,3700.00,3650.00,3676.00,82300,3621.715
2015-12-22,3663.00,3673.00,3586.00,3652.00,157100,3598.069
2015-12-21,3639.00,3713.00,3633.00,3633.00,114000,3579.35
2015-12-18,3660.00,3722.00,3644.00,3644.00,278600,3590.187
2015-12-17,3700.00,3739.00,3675.00,3687.00,176500,3632.552
2015-12-16,3648.00,3688.00,3636.00,3677.00,145000,3622.70
2015-12-15,3569.00,3649.00,3569.00,3633.00,163400,3579.35
2015-12-14,3588.00,3632.00,3563.00,3563.00,254900,3510.384
2015-12-11,3619.00,3631.00,3568.00,3572.00,215500,3519.251
2015-12-10,3641.00,3671.00,3620.00,3631.00,142300,3577.379
2015-12-09,3716.00,3716.00,3662.00,3669.00,120900,3614.818
2015-12-08,3739.00,3759.00,3686.00,3692.00,163100,3637.479
2015-12-07,3666.00,3801.00,3666.00,3733.00,136400,3677.873
2015-12-04,3717.00,3733.00,3665.60,3727.00,123100,3671.962
2015-12-03,3782.00,3833.00,3718.00,3726.00,182300,3670.976
2015-12-02,3853.00,3891.00,3780.00,3794.00,221500,3737.972
2015-12-01,3790.00,3845.00,3770.00,3837.00,212800,3780.337
2015-11-30,3729.00,3782.00,3723.00,3770.00,203000,3714.327
2015-11-27,3718.00,3752.00,3702.00,3752.00,88100,3696.592
2015-11-26,3758.00,3760.00,3712.00,3728.00,108300,3672.947
2015-11-25,3679.00,3751.00,3679.00,3751.00,175400,3695.607
2015-11-24,3754.00,3760.00,3649.00,3690.00,369200,3635.508
2015-11-23,3760.00,3771.00,3738.00,3738.00,100700,3682.799
2015-11-20,3767.00,3781.00,3759.00,3774.00,192300,3718.268
2015-11-19,3762.00,3801.00,3740.00,3774.00,150100,3718.268
2015-11-18,3750.00,3771.00,3741.00,3754.00,118300,3698.563
2015-11-17,3717.00,3787.00,3712.00,3780.00,286600,3724.179
2015-11-16,3636.00,3694.00,3625.00,3694.00,162200,3639.449
2015-11-13,3629.00,3648.00,3613.00,3637.00,123700,3583.291
2015-11-12,3661.00,3720.00,3642.72,3645.00,130100,3591.173
2015-11-11,3665.00,3704.00,3656.00,3678.00,189000,3623.685
2015-11-10,3679.00,3703.00,3621.68,3650.00,353000,3596.099
2015-11-09,3761.00,3764.00,3671.00,3684.00,173700,3629.597
2015-11-06,3747.00,3783.00,3747.00,3758.00,138200,3702.504
2015-11-05,3751.00,3767.00,3723.00,3761.00,151500,3705.46
2015-11-04,3782.00,3795.00,3725.00,3739.00,220300,3683.784
2015-11-03,3821.00,3835.00,3772.00,3780.00,176600,3724.179
