Date,Open,High,Low,Close,Volume,Adj Close
2016-09-12,650.00,656.50,616.00,626.00,1498700,626.00
2016-09-05,690.50,690.50,653.50,655.00,653500,655.00
2016-08-30,667.00,695.50,667.00,685.50,807100,685.50
2016-08-22,661.00,683.00,653.637,672.00,822900,672.00
2016-08-15,663.00,670.50,647.50,660.00,662500,660.00
2016-08-08,672.00,672.00,641.50,663.00,901700,663.00
2016-08-01,685.00,690.00,646.50,665.50,1106800,665.50
2016-07-25,661.00,689.00,657.75,683.50,1680000,683.50
2016-07-18,643.00,679.00,642.00,664.00,1270300,664.00
2016-07-11,620.00,663.50,619.50,654.00,2398700,654.00
2016-07-04,624.50,624.50,557.50,616.50,2840200,616.50
2016-06-27,584.50,636.50,534.50,616.50,2861800,616.50
2016-06-20,728.00,783.00,541.50,599.50,2208300,599.50
2016-06-13,720.50,732.50,697.056,710.00,1581100,710.00
2016-06-06,741.00,753.00,731.00,732.00,1076400,732.00
2016-05-30,765.00,765.00,732.424,747.00,925700,747.00
2016-05-23,785.00,799.50,752.00,765.00,1511600,759.223
2016-05-16,780.00,790.00,769.00,783.50,930600,777.583
2016-05-09,786.678,806.00,773.00,783.50,793400,777.583
2016-05-02,758.00,786.00,758.00,786.00,642300,780.064
2016-04-25,728.50,776.50,728.50,758.00,785100,752.275
2016-04-18,740.50,753.00,727.50,730.00,715400,724.487
2016-04-11,746.00,759.50,729.00,743.50,753500,737.885
2016-04-04,722.00,750.50,719.50,744.00,690800,738.381
2016-03-28,709.50,732.202,709.50,725.00,629500,719.525
2016-03-21,724.50,735.50,708.00,709.50,894900,704.142
2016-03-14,702.50,730.00,701.50,724.00,1337400,718.532
2016-03-07,711.00,720.00,690.50,702.50,880900,697.195
2016-02-29,693.50,717.00,688.00,715.00,906300,709.60
2016-02-22,716.50,724.50,681.00,698.00,1177000,692.729
2016-02-15,705.00,725.00,699.50,714.00,554200,708.608
2016-02-08,725.50,727.00,682.50,695.00,1265500,689.751
2016-02-01,766.50,776.50,720.50,722.00,958200,716.547
2016-01-25,753.50,768.50,741.50,766.50,944500,760.711
2016-01-18,762.50,769.75,732.00,753.50,800400,747.809
2016-01-11,792.00,809.973,762.50,763.50,1251900,757.734
2016-01-04,822.00,842.50,790.50,790.50,733000,784.53
2015-12-28,836.00,847.50,827.00,828.00,232500,821.747
2015-12-21,843.50,847.50,821.60,836.00,307300,829.686
2015-12-14,822.50,856.00,816.00,838.50,866100,832.167
2015-12-07,861.50,875.00,825.50,825.50,551700,819.266
2015-11-30,874.50,890.50,846.00,861.50,752400,854.994
2015-11-23,870.50,870.50,840.50,869.00,439500,862.437
2015-11-16,843.00,875.88,835.00,870.00,595400,863.43
2015-11-09,858.00,861.50,829.50,844.00,827500,834.156
2015-11-02,878.00,886.00,854.00,859.00,695800,848.981
2015-10-26,869.00,892.50,867.00,889.50,617800,879.125
2015-10-19,841.00,869.50,837.50,868.50,510900,858.37
2015-10-12,843.50,854.50,831.00,838.00,535700,828.226
2015-10-05,870.50,881.00,844.00,844.00,526000,834.156
2015-09-28,856.50,869.50,842.00,858.50,634300,848.487
2015-09-21,826.00,860.00,821.00,856.50,692900,846.51
2015-09-14,841.00,844.50,826.00,830.50,836700,820.813
2015-09-07,832.00,845.50,819.50,840.00,444600,830.203
2015-08-31,828.50,848.50,804.50,825.50,568500,815.872
2015-08-24,830.00,839.00,797.00,828.50,715500,818.837
2015-08-17,869.00,883.50,844.00,846.50,664100,836.627
2015-08-10,858.50,872.00,840.50,868.50,423900,858.37
2015-08-03,828.50,861.00,828.00,855.00,519900,845.028
2015-07-27,842.50,844.50,825.50,832.50,569000,822.79
2015-07-20,852.00,856.50,833.50,840.00,445500,830.203
2015-07-13,818.50,849.50,817.50,848.50,649300,838.603
2015-07-06,795.00,818.50,787.00,814.00,658500,804.506
2015-06-29,774.50,814.00,774.50,802.50,665700,793.14
2015-06-22,802.00,807.00,789.50,791.00,624600,781.774
2015-06-15,806.50,813.50,778.50,787.50,795500,778.315
2015-06-08,806.00,827.00,799.00,811.50,524400,802.035
2015-06-01,830.00,847.50,800.50,801.50,740000,792.152
2015-05-25,840.00,850.00,824.70,828.50,718000,818.837
2015-05-18,851.00,877.00,814.68,840.00,1233100,824.812
2015-05-11,815.00,850.00,798.50,847.00,687400,831.685
2015-05-04,795.00,836.00,765.00,813.50,927300,798.791
2015-04-27,811.00,823.50,791.00,795.00,551100,780.625
2015-04-20,814.00,830.00,807.88,810.50,653700,795.845
2015-04-13,842.00,842.00,807.50,808.50,627600,793.881
2015-04-06,817.50,846.00,817.50,846.00,379300,830.703
2015-03-30,832.00,834.50,806.50,817.50,486000,802.718
2015-03-23,836.00,849.50,811.00,824.50,582100,809.592
2015-03-16,800.50,842.00,800.50,837.50,617100,822.357
2015-03-09,815.50,820.00,783.50,801.50,737700,787.008
2015-03-02,802.00,829.00,801.00,807.50,696900,792.899
2015-02-23,789.00,801.00,782.00,800.50,685000,786.026
2015-02-16,781.50,792.00,775.50,785.50,623800,771.297
2015-02-09,798.50,798.50,775.50,788.50,531800,774.243
2015-02-02,800.50,810.00,782.00,796.50,775600,782.098
2015-01-26,771.00,806.018,765.00,785.50,975500,771.297
2015-01-19,751.50,778.00,745.00,777.50,666900,763.442
2015-01-12,749.00,755.00,734.10,750.00,695200,736.439
2015-01-05,728.50,761.50,728.50,747.50,735000,733.984
2014-12-29,740.00,748.50,728.00,733.50,390200,720.237
2014-12-22,739.00,745.922,730.00,744.50,239500,731.038
2014-12-15,701.50,737.50,676.46,737.50,1246300,724.165
2014-12-08,721.00,727.50,697.50,702.00,534600,689.307
2014-12-01,720.00,731.00,705.50,721.00,617000,707.963
2014-11-24,699.00,721.50,694.00,718.50,526400,705.508
2014-11-17,690.00,708.00,689.24,695.00,689400,682.433
2014-11-10,682.00,699.80,675.50,691.50,605200,675.602
2014-11-03,684.50,695.00,676.00,676.50,691700,660.947
2014-10-27,664.50,688.50,652.50,686.50,633600,670.717
2014-10-20,627.00,659.50,623.00,657.50,639900,642.383
2014-10-13,618.00,632.50,600.04,625.50,543300,611.119
2014-10-06,629.00,631.00,609.00,622.00,679500,607.70
2014-09-29,637.00,643.00,623.00,626.50,495500,612.096
2014-09-22,640.50,645.50,625.50,638.50,573800,623.82
2014-09-15,637.50,660.50,629.50,645.00,685900,630.171
2014-09-08,648.00,649.50,628.50,641.00,575400,626.263
2014-09-01,659.50,659.50,643.50,649.50,471800,634.567
2014-08-25,657.50,668.00,650.50,656.50,396600,641.406
2014-08-18,661.00,667.50,646.50,657.50,384600,642.383
