Date,Open,High,Low,Close,Volume,Adj Close
2016-09-12,948.00,960.00,934.50,950.00,802700,950.00
2016-09-05,990.00,995.50,951.50,954.00,439600,954.00
2016-08-30,955.50,987.50,952.00,984.50,494300,984.50
2016-08-22,947.00,969.00,945.00,955.00,311500,955.00
2016-08-15,939.50,959.50,928.687,953.50,401500,953.50
2016-08-08,933.00,943.00,919.50,942.00,385400,942.00
2016-08-01,932.50,940.00,896.00,930.00,491800,930.00
2016-07-25,893.00,936.00,887.00,934.00,577000,934.00
2016-07-18,859.00,906.50,855.00,892.00,607200,892.00
2016-07-11,869.00,906.50,821.143,873.00,657800,873.00
2016-07-04,868.50,874.50,828.00,865.00,920000,865.00
2016-06-27,880.00,892.50,818.50,870.00,1056100,870.00
2016-06-20,925.00,972.00,650.00,891.50,1030900,891.50
2016-06-13,910.50,921.50,898.00,917.50,1233500,917.50
2016-06-06,922.00,934.00,910.00,919.50,702300,919.50
2016-05-30,935.00,935.00,898.00,921.00,566500,913.934
2016-05-23,934.00,941.50,924.00,935.00,712700,927.827
2016-05-16,934.50,946.00,915.00,929.00,384700,921.873
2016-05-09,930.50,952.00,917.50,931.50,514800,924.354
2016-05-02,910.00,926.50,907.50,925.00,271300,917.904
2016-04-25,892.50,926.835,892.50,910.00,379000,903.019
2016-04-18,895.50,908.76,884.00,895.00,379400,888.134
2016-04-11,922.00,924.00,897.50,901.50,345600,894.584
2016-04-04,904.00,930.50,885.00,922.00,358700,914.927
2016-03-28,895.50,917.00,889.50,907.50,316100,900.538
2016-03-21,897.00,913.50,895.00,895.50,392700,888.63
2016-03-14,870.00,900.00,861.00,900.00,571800,893.096
2016-03-07,871.00,884.00,844.00,862.50,314300,855.883
2016-02-29,846.00,885.00,841.50,876.50,468800,869.776
2016-02-22,862.00,871.50,821.50,848.00,690900,841.494
2016-02-15,851.00,868.00,841.50,858.00,326900,851.418
2016-02-08,847.50,851.50,809.36,833.50,763400,827.106
2016-02-01,850.00,871.50,840.50,847.00,496700,840.502
2016-01-25,852.00,852.832,824.00,839.50,400600,833.06
2016-01-18,868.00,875.50,825.50,846.50,433600,840.006
2016-01-11,896.00,913.00,867.50,867.50,543700,853.718
2016-01-04,906.00,920.00,884.50,894.50,361000,880.289
2015-12-28,921.00,937.50,910.50,914.50,161500,899.972
2015-12-21,911.00,930.00,896.00,921.00,161900,906.368
2015-12-14,893.00,929.50,884.50,914.00,440900,899.48
2015-12-07,923.00,932.50,894.00,894.00,402900,879.797
2015-11-30,927.50,947.00,906.50,922.00,544800,907.352
2015-11-23,915.50,932.50,903.00,928.00,395700,913.257
2015-11-16,892.00,931.50,890.50,919.50,488200,904.892
2015-11-09,921.50,927.629,893.50,901.50,389400,887.178
2015-11-02,937.50,941.00,905.50,923.00,390900,908.337
2015-10-26,908.50,948.00,908.50,940.50,334900,925.559
2015-10-19,884.00,925.50,883.80,921.00,444000,906.368
2015-10-12,899.00,899.00,878.00,883.00,403500,868.972
2015-10-05,931.00,942.50,896.00,898.00,372600,883.734
2015-09-28,920.00,931.50,903.50,917.00,334300,902.432
2015-09-21,894.50,924.00,886.00,919.00,393900,904.40
2015-09-14,895.00,904.00,880.50,902.50,444800,888.162
2015-09-07,898.50,913.00,887.75,895.00,270700,880.781
2015-08-31,900.00,918.50,886.00,890.50,303000,876.353
2015-08-24,925.00,928.00,878.00,900.00,639100,885.702
2015-08-17,962.00,975.50,925.38,926.00,345000,911.289
2015-08-10,966.50,973.00,942.50,962.00,435400,946.717
2015-08-03,929.00,966.50,927.50,959.00,329600,943.765
2015-07-27,935.50,939.50,914.00,935.00,414600,920.146
2015-07-20,910.00,947.00,910.00,934.50,491100,919.654
2015-07-13,879.50,927.06,873.00,927.00,471400,912.273
2015-07-06,854.00,873.50,846.00,870.00,400900,856.179
2015-06-29,863.50,877.50,854.00,863.50,515300,849.782
2015-06-22,878.50,885.00,865.26,876.50,631000,862.575
2015-06-15,866.50,883.50,857.00,868.50,815700,854.702
2015-06-08,857.50,887.50,855.00,877.50,523700,863.559
2015-06-01,878.50,903.00,856.50,859.50,649800,839.214
2015-05-25,870.50,891.00,860.00,876.00,547000,855.324
2015-05-18,875.00,907.00,854.00,870.50,641300,849.954
2015-05-11,836.50,881.50,828.00,881.50,580000,860.694
2015-05-04,833.00,899.00,802.60,834.50,534400,814.804
2015-04-27,850.50,861.00,829.00,833.00,386000,813.339
2015-04-20,847.00,864.00,844.22,852.50,329700,832.379
2015-04-13,865.00,872.50,840.00,840.50,313400,820.662
2015-04-06,837.00,870.50,837.00,870.00,292900,849.466
2015-03-30,843.50,846.50,827.00,837.00,474300,817.245
2015-03-23,857.00,882.00,835.00,839.00,546400,819.198
2015-03-16,801.00,854.00,801.00,852.00,574700,831.891
2015-03-09,824.00,825.00,780.00,802.50,545700,783.559
2015-03-02,811.50,835.00,811.50,816.00,452900,796.74
2015-02-23,797.00,818.50,796.50,812.50,382800,793.323
2015-02-16,801.00,807.50,787.00,799.50,748200,780.63
2015-02-09,802.50,814.50,780.00,805.50,801300,786.488
2015-02-02,782.00,815.50,777.00,806.50,639500,787.465
2015-01-26,806.00,806.00,778.00,778.00,505200,759.637
2015-01-19,794.50,806.50,787.00,797.00,533200,778.189
2015-01-12,799.50,801.50,783.50,796.50,456800,771.264
2015-01-05,773.50,799.50,773.00,796.00,560300,770.78
2014-12-29,801.00,801.00,771.00,781.00,229500,756.256
2014-12-22,780.50,793.00,776.50,784.00,298500,759.161
2014-12-15,764.50,779.00,737.50,779.00,1123400,754.319
2014-12-08,788.00,788.50,762.00,767.50,514700,743.183
2014-12-01,790.00,810.50,783.86,792.50,537900,767.391
2014-11-24,748.00,814.50,748.00,800.00,664500,774.654
2014-11-17,727.00,757.50,723.50,747.00,464700,723.333
2014-11-10,708.50,731.00,705.50,731.00,223200,707.84
2014-11-03,717.00,723.00,705.00,709.00,380500,686.537
2014-10-27,705.00,716.00,697.50,716.00,373700,693.315
2014-10-20,665.50,702.00,660.50,702.00,600000,679.759
2014-10-13,661.00,673.00,648.00,664.00,698800,642.962
2014-10-06,678.50,683.00,657.00,665.00,580500,643.931
2014-09-29,672.50,687.00,672.00,679.00,446000,657.487
2014-09-22,674.00,682.50,670.00,678.00,418200,656.519
2014-09-15,670.00,696.00,666.50,675.00,587100,653.614
2014-09-08,680.50,680.50,666.00,673.00,462200,651.677
2014-09-01,685.00,697.19,676.50,680.00,500700,658.456
2014-08-25,688.00,698.00,680.50,685.00,311300,663.297
2014-08-18,695.00,695.00,681.00,688.00,212300,666.202
2014-08-11,673.00,698.00,670.50,691.00,510500,669.107
2014-08-04,676.00,676.00,650.00,670.00,628700,648.772
2014-07-28,682.00,690.00,663.50,674.00,359200,652.646
2014-07-21,681.00,688.00,664.50,682.50,507200,660.876
2014-07-14,653.00,679.00,650.50,679.00,492400,657.487
2014-07-07,656.50,658.25,639.50,653.00,556900,632.311
2014-06-30,655.00,665.00,652.50,656.00,428600,635.216
2014-06-23,641.00,655.50,632.168,655.50,605600,634.732
2014-06-16,645.00,649.00,635.50,638.00,1322500,617.786
2014-06-09,683.00,684.00,646.00,646.50,810000,626.017
2014-06-02,672.00,680.00,662.50,680.00,422200,652.087
2014-05-26,658.50,672.50,657.50,670.50,250600,642.977
2014-05-19,680.00,680.00,650.00,658.50,958500,631.469
2014-05-12,674.50,687.00,655.00,668.00,681400,640.579
2014-05-05,664.50,678.50,658.50,674.00,464900,646.333
2014-04-28,663.50,671.00,656.00,664.50,311500,637.223
2014-04-21,666.50,675.00,656.50,663.00,351200,635.784
2014-04-14,656.00,669.50,650.00,666.50,723800,639.141
2014-04-07,659.50,668.00,645.50,655.00,685100,628.113
2014-03-31,653.00,668.50,650.50,661.00,579500,633.867
2014-03-24,647.50,656.50,637.50,651.00,519200,624.277
2014-03-17,647.00,658.50,643.00,649.50,826500,622.839
2014-03-10,652.50,658.50,644.50,650.50,1008000,623.797
2014-03-03,654.00,662.00,620.00,650.00,1014000,623.318
2014-02-24,660.00,668.00,651.50,664.00,473600,636.743
2014-02-17,626.00,665.50,626.00,662.50,415400,635.305
2014-02-10,631.00,653.00,631.00,640.00,414100,613.729
2014-02-03,626.00,634.00,608.50,634.00,592700,607.975
2014-01-27,628.00,634.00,620.00,623.00,344300,597.426
2014-01-20,635.00,637.00,616.50,622.00,387900,596.467
2014-01-13,647.50,651.50,626.00,633.50,353200,601.247
2014-01-06,620.00,644.50,606.00,643.50,420200,610.738
2013-12-30,618.00,629.50,608.50,620.00,196200,588.435
2013-12-23,590.00,621.50,590.00,611.50,56900,580.367
2013-12-16,618.00,619.00,596.00,605.50,503100,574.673
2013-12-09,603.50,619.00,600.50,607.00,444900,576.097
2013-12-02,613.00,617.00,597.50,606.00,542900,575.147
2013-11-25,615.50,634.00,605.00,616.50,587000,585.113
2013-11-18,599.50,612.00,594.00,609.50,645200,578.469
